"text","czas"
"Moze to jej urok. Moze to tapeta.","15"
"I'm livid with it.","3"
"Mentos - the Cavitymaker.","69"
"Ani IXI, ani OMO nie wypierze tak jak ZOMO!","64"
"The King of Beers","25"
"I?d walk a mile for a Camel","45"
"When you care enough to send the very best","79"
"Breakfast of champions","3"
"A diamond is forever","2"
"Finger lickin? good","52"
"The milk chocolate that melts in your mouth, not in your hand.","84"
"Have a break? Have a Kit Kat.","15"
"Look, Ma, no cavities!","45"
"Think small","77"
"We Try Harder","55"
"Fly the friendly skies.","56"
"It?s the real thing!","38"
"Nothing runs like a Deere","39"
"Have it your way.","12"
"Because I?m worth it","5"
"Probably the best lager in the world","30"
"The Uncola","41"
"Impossible is nothing","81"
"The Ultimate Driving Machine","3"
"The Citi never sleeps","2"
"I Love New York","8"
"When if absolutely, positively has to be there overnight","92"
"The world?s favourite airline","69"
"Where?s the beef?","56"
"Quality never goes out of style.","15"
"It?s everywhere you want to be.","5"
"Just do it.","82"
"The best a man can get","25"
"Maybe she?s born with it. Maybe it?s Maybelline.","7"
"Got Milk?","51"
"Where do you want to go today?","52"
"Hello Boys","46"
"Good things come to those who wait","44"
"Think Different","10"
"There are some things money can?t buy. For everything else, there?s MasterCard.","57"
"The Power of Dreams","97"
"I?m Lovin? It","49"
"Imagination at Work","96"
"Real Beauty","26"
